Step,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
59,False,True,True,True,True,True,False,True,False,True,True,True
60,False,True,True,True,True,True,False,True,False,True,True,True
61,False,True,True,True,True,True,False,True,False,True,True,True
62,False,True,True,True,True,True,False,True,False,True,True,True
63,False,True,True,True,True,True,False,True,False,True,True,True
64,False,True,True,True,True,True,False,True,False,True,True,True
65,False,True,True,True,True,True,False,True,False,True,True,True
66,False,True,True,True,True,True,False,True,False,True,True,True
67,False,True,True,True,True,True,False,True,False,True,True,True
68,False,True,True,True,True,True,False,True,False,True,True,True
69,False,True,True,True,True,True,False,True,False,True,True,True
70,False,True,True,True,True,True,False,True,False,True,True,True
71,False,True,True,True,True,True,False,True,False,True,True,True
72,False,True,True,True,True,True,False,True,False,True,True,True
73,False,True,True,True,True,True,False,True,False,True,True,True
74,False,True,True,True,True,True,False,True,False,True,True,True
75,False,True,True,True,True,True,False,True,False,True,True,True
76,False,True,True,True,True,True,False,True,False,True,True,True
77,False,True,True,True,True,True,False,True,False,True,True,True
78,False,True,True,True,True,True,False,True,False,True,True,True
79,False,True,True,True,True,True,False,True,False,True,True,True
80,False,True,True,True,True,True,False,True,False,True,True,True
81,False,True,True,True,True,True,False,True,False,True,True,True
82,False,True,True,True,True,True,False,True,False,True,True,True
83,False,True,True,True,True,True,False,True,False,True,True,True
84,False,True,True,True,True,True,False,True,False,True,True,True
85,False,True,True,True,True,True,False,True,False,True,True,True
86,False,True,True,True,True,True,False,True,False,True,True,True
87,False,True,True,True,True,True,False,True,False,True,True,True
88,False,True,True,True,True,True,False,True,False,True,True,True
89,False,True,True,True,True,True,False,True,False,True,True,True
90,False,True,True,True,True,True,False,True,False,True,True,True
91,False,True,True,True,True,True,False,True,False,True,True,True
92,False,True,True,True,True,True,False,True,False,True,True,True
93,False,True,True,True,True,True,False,True,False,True,True,True
94,False,True,True,True,True,True,False,True,False,True,True,True
95,False,True,True,True,True,True,False,True,False,True,True,True
96,False,True,True,True,True,True,False,True,False,True,True,True
97,False,True,True,True,True,True,False,True,False,True,True,True
98,False,True,True,True,True,True,False,True,False,True,True,True
99,False,True,True,True,True,True,False,True,False,True,True,True
100,False,True,True,True,True,True,False,True,False,True,True,True
101,False,True,True,True,True,True,False,True,False,True,True,True
102,False,True,True,True,True,True,False,True,False,True,True,True
103,False,True,True,True,True,True,False,True,False,True,True,True
104,False,True,True,True,True,True,False,True,False,True,True,True
105,False,True,True,True,True,True,False,True,False,True,True,True
106,False,True,True,True,True,True,False,True,False,True,True,True
107,False,True,True,True,True,True,False,True,False,True,True,True
108,False,True,True,True,True,True,False,True,False,True,True,True
109,False,True,True,True,True,True,False,True,False,True,True,True
110,False,True,True,True,True,True,False,True,False,True,True,True
111,False,True,True,True,True,True,False,True,False,True,True,True
112,False,True,True,True,True,True,False,True,False,True,True,True
113,False,True,True,True,True,True,False,True,False,True,True,True
114,False,True,True,True,True,True,False,True,False,True,True,True
115,False,True,True,True,True,True,False,True,False,True,True,True
116,False,True,True,True,True,True,False,True,False,True,True,True
117,False,True,True,True,True,True,False,True,False,True,True,True
118,False,True,True,True,True,True,False,True,False,True,True,True
119,False,True,True,True,True,True,False,True,False,True,True,True
120,False,True,True,True,True,True,False,True,False,True,True,True
121,False,True,True,True,True,True,False,True,False,True,True,True
122,False,True,True,True,True,True,False,True,False,True,True,True
123,False,True,True,True,True,True,False,True,False,True,True,True
124,False,True,True,True,True,True,False,True,False,True,True,True
125,False,True,True,True,True,True,False,True,False,True,True,True
126,False,True,True,True,True,True,False,True,False,True,True,True
127,False,True,True,True,True,True,False,True,False,True,True,True
128,False,True,True,True,True,True,False,True,False,True,True,True
129,False,True,True,True,True,True,False,True,False,True,True,True
130,False,True,True,True,True,True,False,True,False,True,True,True
131,False,True,True,True,True,True,False,True,False,True,True,True
132,False,True,True,True,True,True,False,True,False,True,True,True
133,False,True,True,True,True,True,False,True,False,True,True,True
134,False,True,True,True,True,True,False,True,False,True,True,True
135,False,True,True,True,True,True,False,True,False,True,True,True
136,False,True,True,True,True,True,False,True,False,True,True,True
137,False,True,True,True,True,True,False,True,False,True,True,True
138,False,True,True,True,True,True,False,True,False,True,True,True
139,False,True,True,True,True,True,False,True,False,True,True,True
140,False,True,True,True,True,True,False,True,False,True,True,True
141,False,True,True,True,True,True,False,True,False,True,True,True
142,False,True,True,True,True,True,False,True,False,True,True,True
143,False,True,True,True,True,True,False,True,False,True,True,True
144,False,True,True,True,True,True,False,True,False,True,True,True
145,False,True,True,True,True,True,False,True,False,True,True,True
146,False,True,True,True,True,True,False,True,False,True,True,True
147,False,True,True,True,True,True,False,True,False,True,True,True
148,False,True,True,True,True,True,False,True,False,True,True,True
149,False,True,True,True,True,True,False,True,False,True,True,True
150,False,True,True,True,True,True,False,True,False,True,True,True
151,False,True,True,True,True,True,False,True,False,True,True,True
152,False,True,True,True,True,True,False,True,False,True,True,True
153,False,True,True,True,True,True,False,True,False,True,True,True
154,False,True,True,True,True,True,False,True,False,True,True,True
155,False,True,True,True,True,True,False,True,False,True,True,True
156,False,True,True,True,True,True,False,True,False,True,True,True
157,False,True,True,True,True,True,False,True,False,True,True,True
158,False,True,True,True,True,True,False,True,False,True,True,True
159,False,True,True,True,True,True,False,True,False,True,True,True
160,False,True,True,True,True,True,False,True,False,True,True,True
161,False,True,True,True,True,True,False,True,False,True,True,True
162,False,True,True,True,True,True,False,True,False,True,True,True
163,False,True,True,True,True,True,False,True,False,True,True,True
164,False,True,True,True,True,True,False,True,False,True,True,True
165,False,True,True,True,True,True,False,True,False,True,True,True
166,False,True,True,True,True,True,False,True,False,True,True,True
167,False,True,True,True,True,True,False,True,False,True,True,True
168,False,True,True,True,True,True,False,True,False,True,True,True
169,False,True,True,True,True,True,False,True,False,True,True,True
170,False,True,True,True,True,True,False,True,False,True,True,True
171,False,True,True,True,True,True,False,True,False,True,True,True
172,False,True,True,True,True,True,False,True,False,True,True,True
173,False,True,True,True,True,True,False,True,False,True,True,True
174,False,True,True,True,True,True,False,True,False,True,True,True
175,False,True,True,True,True,True,False,True,False,True,True,True
176,False,True,True,True,True,True,False,True,False,True,True,True
177,False,True,True,True,True,True,False,True,False,True,True,True
178,False,True,True,True,True,True,False,True,False,True,True,True
179,False,True,True,True,True,True,False,True,False,True,True,True
180,False,True,True,True,True,True,False,True,False,True,True,True
181,False,True,True,True,True,True,False,True,False,True,True,True
182,False,True,True,True,True,True,False,True,False,True,True,True
183,False,True,True,True,True,True,False,True,False,True,True,True
184,False,True,True,True,True,True,False,True,False,True,True,True
185,False,True,True,True,True,True,False,True,False,True,True,True
186,False,True,True,True,True,True,False,True,False,True,True,True
187,False,True,True,True,True,True,False,True,False,True,True,True
188,False,True,True,True,True,True,False,True,False,True,True,True
189,False,True,True,True,True,True,False,True,False,True,True,True
190,False,True,True,True,True,True,False,True,False,True,True,True
191,False,True,True,True,True,True,False,True,False,True,True,True
192,False,True,True,True,True,True,False,True,False,True,True,True
193,False,True,True,True,True,True,False,True,False,True,True,True
194,False,True,True,True,True,True,False,True,False,True,True,True
195,False,True,True,True,True,True,False,True,False,True,True,True
196,False,True,True,True,True,True,False,True,False,True,True,True
197,False,True,True,True,True,True,False,True,False,True,True,True
198,False,True,True,True,True,True,False,True,False,True,True,True
199,False,True,True,True,True,True,False,True,False,True,True,True
200,False,True,True,True,True,True,False,True,False,True,True,True
201,False,True,True,True,True,True,False,True,False,True,True,True
202,False,True,True,True,True,True,False,True,False,True,True,True
203,False,True,True,True,True,True,False,True,False,True,True,True
204,False,True,True,True,True,True,False,True,False,True,True,True
205,False,True,True,True,True,True,False,True,False,True,True,True
206,False,True,True,True,True,True,False,True,False,True,True,True
207,False,True,True,True,True,True,False,True,False,True,True,True
208,False,True,True,True,True,True,False,True,False,True,True,True
209,False,True,True,True,True,True,False,True,False,True,True,True
210,False,True,True,True,True,True,False,True,False,True,True,True
211,False,True,True,True,True,True,False,True,False,True,True,True
212,False,True,True,True,True,True,False,True,False,True,True,True
213,False,True,True,True,True,True,False,True,False,True,True,True
214,False,True,True,True,True,True,False,True,False,True,True,True
215,False,True,True,True,True,True,False,True,False,True,True,True
216,False,True,True,True,True,True,False,True,False,True,True,True
217,False,True,True,True,True,True,False,True,False,True,True,True
218,False,True,True,True,True,True,False,True,False,True,True,True
219,False,True,True,True,True,True,False,True,False,True,True,True
220,False,True,True,True,True,True,False,True,False,True,True,True
221,False,True,True,True,True,True,False,True,False,True,True,True
222,False,True,True,True,True,True,False,True,False,True,True,True
223,False,True,True,True,True,True,False,True,False,True,True,True
224,False,True,True,True,True,True,False,True,False,True,True,True
225,False,True,True,True,True,True,False,True,False,True,True,True
226,False,True,True,True,True,True,False,True,False,True,True,True
227,False,True,True,True,True,True,False,True,False,True,True,True
228,False,True,True,True,True,True,False,True,False,True,True,True
229,False,True,True,True,True,True,False,True,False,True,True,True
230,False,True,True,True,True,True,False,True,False,True,True,True
231,False,True,True,True,True,True,False,True,False,True,True,True
232,False,True,True,True,True,True,False,True,False,True,True,True
233,False,True,True,True,True,True,False,True,False,True,True,True
234,False,True,True,True,True,True,False,True,False,True,True,True
235,False,True,True,True,True,True,False,True,False,True,True,True
236,False,True,True,True,True,True,False,True,False,True,True,True
237,False,True,True,True,True,True,False,True,False,True,True,True
238,False,True,True,True,True,True,False,True,False,True,True,True
239,False,True,True,True,True,True,False,True,False,True,True,True
240,False,True,True,True,True,True,False,True,False,True,True,True
241,False,True,True,True,True,True,False,True,False,True,True,True
242,False,True,True,True,True,True,False,True,False,True,True,True
243,False,True,True,True,True,True,False,True,False,True,True,True
244,False,True,True,True,True,True,False,True,False,True,True,True
245,False,True,True,True,True,True,False,True,False,True,True,True
246,False,True,True,True,True,True,False,True,False,True,True,True
247,False,True,True,True,True,True,False,True,False,True,True,True
248,False,True,True,True,True,True,False,True,False,True,True,True
249,False,True,True,True,True,True,False,True,False,True,True,True
250,False,True,True,True,True,True,False,True,False,True,True,True
251,False,True,True,True,True,True,False,True,False,True,True,True
252,False,True,True,True,True,True,False,True,False,True,True,True
253,False,True,True,True,True,True,False,True,False,True,True,True
254,False,True,True,True,True,True,False,True,False,True,True,True
255,False,True,True,True,True,True,False,True,False,True,True,True
256,False,True,True,True,True,True,False,True,False,True,True,True
257,False,True,True,True,True,True,False,True,False,True,True,True
258,False,True,True,True,True,True,False,True,False,True,True,True
259,False,True,True,True,True,True,False,True,False,True,True,True
260,False,True,True,True,True,True,False,True,False,True,True,True
261,False,True,True,True,True,True,False,True,False,True,True,True
262,False,True,True,True,True,True,False,True,False,True,True,True
263,False,True,True,True,True,True,False,True,False,True,True,True
264,False,True,True,True,True,True,False,True,False,True,True,True
265,False,True,True,True,True,True,False,True,False,True,True,True
266,False,True,True,True,True,True,False,True,False,True,True,True
267,False,True,True,True,True,True,False,True,False,True,True,True
268,False,True,True,True,True,True,False,True,False,True,True,True
269,False,True,True,True,True,True,False,True,False,True,True,True
270,False,True,True,True,True,True,False,True,False,True,True,True
271,False,True,True,True,True,True,False,True,False,True,True,True
272,False,True,True,True,True,True,False,True,False,True,True,True
273,False,True,True,True,True,True,False,True,False,True,True,True
274,False,True,True,True,True,True,False,True,False,True,True,True
275,False,True,True,True,True,True,False,True,False,True,True,True
276,False,True,True,True,True,True,False,True,False,True,True,True
277,False,True,True,True,True,True,False,True,False,True,True,True
278,False,True,True,True,True,True,False,True,False,True,True,True
279,False,True,True,True,True,True,False,True,False,True,True,True
280,False,True,True,True,True,True,False,True,False,True,True,True
281,False,True,True,True,True,True,False,True,False,True,True,True
282,False,True,True,True,True,True,False,True,False,True,True,True
283,False,True,True,True,True,True,False,True,False,True,True,True
284,False,True,True,True,True,True,False,True,False,True,True,True
285,False,True,True,True,True,True,False,True,False,True,True,True
286,False,True,True,True,True,True,False,True,False,True,True,True
287,False,True,True,True,True,True,False,True,False,True,True,True
288,False,True,True,True,True,True,False,True,False,True,True,True
289,False,True,True,True,True,True,False,True,False,True,True,True
290,False,True,True,True,True,True,False,True,False,True,True,True
291,False,True,True,True,True,True,False,True,False,True,True,True
292,False,True,True,True,True,True,False,True,False,True,True,True
293,False,True,True,True,True,True,False,True,False,True,True,True
294,False,True,True,True,True,True,False,True,False,True,True,True
295,False,True,True,True,True,True,False,True,False,True,True,True
296,False,True,True,True,True,True,False,True,False,True,True,True
297,False,True,True,True,True,True,False,True,False,True,True,True
298,False,True,True,True,True,True,False,True,False,True,True,True
299,False,True,True,True,True,True,False,True,False,True,True,True
300,False,True,True,True,True,True,False,True,False,True,True,True
301,False,True,True,True,True,True,False,True,False,True,True,True
302,False,True,True,True,True,True,False,True,False,True,True,True
303,False,True,True,True,True,True,False,True,False,True,True,True
304,False,True,True,True,True,True,False,True,False,True,True,True
305,False,True,True,True,True,True,False,True,False,True,True,True
306,False,True,True,True,True,True,False,True,False,True,True,True
307,False,True,True,True,True,True,False,True,False,True,True,True
308,False,True,True,True,True,True,False,True,False,True,True,True
309,False,True,True,True,True,True,False,True,False,True,True,True
310,False,True,True,True,True,True,False,True,False,True,True,True
311,False,True,True,True,True,True,False,True,False,True,True,True
312,False,True,True,True,True,True,False,True,False,True,True,True
313,False,True,True,True,True,True,False,True,False,True,True,True
314,False,True,True,True,True,True,False,True,False,True,True,True
315,False,True,True,True,True,True,False,True,False,True,True,True
316,False,True,True,True,True,True,False,True,False,True,True,True
317,False,True,True,True,True,True,False,True,False,True,True,True
318,False,True,True,True,True,True,False,True,False,True,True,True
319,False,True,True,True,True,True,False,True,False,True,True,True
320,False,True,True,True,True,True,False,True,False,True,True,True
321,False,True,True,True,True,True,False,True,False,True,True,True
322,False,True,True,True,True,True,False,True,False,True,True,True
323,False,True,True,True,True,True,False,True,False,True,True,True
324,False,True,True,True,True,True,False,True,False,True,True,True
325,False,True,True,True,True,True,False,True,False,True,True,True
326,False,True,True,True,True,True,False,True,False,True,True,True
327,False,True,True,True,True,True,False,True,False,True,True,True
328,False,True,True,True,True,True,False,True,False,True,True,True
329,False,True,True,True,True,True,False,True,False,True,True,True
330,False,True,True,True,True,True,False,True,False,True,True,True
331,False,True,True,True,True,True,False,True,False,True,True,True
332,False,True,True,True,True,True,False,True,False,True,True,True
333,False,True,True,True,True,True,False,True,False,True,True,True
334,False,True,True,True,True,True,False,True,False,True,True,True
335,False,True,True,True,True,True,False,True,False,True,True,True
336,False,True,True,True,True,True,False,True,False,True,True,True
337,False,True,True,True,True,True,False,True,False,True,True,True
338,False,True,True,True,True,True,False,True,False,True,True,True
339,False,True,True,True,True,True,False,True,False,True,True,True
340,False,True,True,True,True,True,False,True,False,True,True,True
341,False,True,True,True,True,True,False,True,False,True,True,True
342,False,True,True,True,True,True,False,True,False,True,True,True
343,False,True,True,True,True,True,False,True,False,True,True,True
344,False,True,True,True,True,True,False,True,False,True,True,True
345,False,True,True,True,True,True,False,True,False,True,True,True
346,False,True,True,True,True,True,False,True,False,True,True,True
347,False,True,True,True,True,True,False,True,False,True,True,True
348,False,True,True,True,True,True,False,True,False,True,True,True
349,False,True,True,True,True,True,False,True,False,True,True,True
350,False,True,True,True,True,True,False,True,False,True,True,True
351,False,True,True,True,True,True,False,True,False,True,True,True
352,False,True,True,True,True,True,False,True,False,True,True,True
353,False,True,True,True,True,True,False,True,False,True,True,True
354,False,True,True,True,True,True,False,True,False,True,True,True
355,False,True,True,True,True,True,False,True,False,True,True,True
356,False,True,True,True,True,True,False,True,False,True,True,True
357,False,True,True,True,True,True,False,True,False,True,True,True
358,False,True,True,True,True,True,False,True,False,True,True,True
359,False,True,True,True,True,True,False,True,False,True,True,True
360,False,True,True,True,True,True,False,True,False,True,True,True
361,False,True,True,True,True,True,False,True,False,True,True,True
362,False,True,True,True,True,True,False,True,False,True,True,True
363,False,True,True,True,True,True,False,True,False,True,True,True
364,False,True,True,True,True,True,False,True,False,True,True,True
365,False,True,True,True,True,True,False,True,False,True,True,True
366,False,True,True,True,True,True,False,True,False,True,True,True
367,False,True,True,True,True,True,False,True,False,True,True,True
368,False,True,True,True,True,True,False,True,False,True,True,True
369,False,True,True,True,True,True,False,True,False,True,True,True
370,False,True,True,True,True,True,False,True,False,True,True,True
371,False,True,True,True,True,True,False,True,False,True,True,True
372,False,True,True,True,True,True,False,True,False,True,True,True
373,False,True,True,True,True,True,False,True,False,True,True,True
374,False,True,True,True,True,True,False,True,False,True,True,True
375,False,True,True,True,True,True,False,True,False,True,True,True
376,False,True,True,True,True,True,False,True,False,True,True,True
377,False,True,True,True,True,True,False,True,False,True,True,True
378,False,True,True,True,True,True,False,True,False,True,True,True
379,False,True,True,True,True,True,False,True,False,True,True,True
380,False,True,True,True,True,True,False,True,False,True,True,True
381,False,True,True,True,True,True,False,True,False,True,True,True
382,False,True,True,True,True,True,False,True,False,True,True,True
383,False,True,True,True,True,True,False,True,False,True,True,True
384,False,True,True,True,True,True,False,True,False,True,True,True
385,False,True,True,True,True,True,False,True,False,True,True,True
386,False,True,True,True,True,True,False,True,False,True,True,True
387,False,True,True,True,True,True,False,True,False,True,True,True
388,False,True,True,True,True,True,False,True,False,True,True,True
389,False,True,True,True,True,True,False,True,False,True,True,True
390,False,True,True,True,True,True,False,True,False,True,True,True
391,False,True,True,True,True,True,False,True,False,True,True,True
392,False,True,True,True,True,True,False,True,False,True,True,True
393,False,True,True,True,True,True,False,True,False,True,True,True
394,False,True,True,True,True,True,False,True,False,True,True,True
395,False,True,True,True,True,True,False,True,False,True,True,True
396,False,True,True,True,True,True,False,True,False,True,True,True
397,False,True,True,True,True,True,False,True,False,True,True,True
398,False,True,True,True,True,True,False,True,False,True,True,True
399,False,True,True,True,True,True,False,True,False,True,True,True
400,False,True,True,True,True,True,False,True,False,True,True,True
401,False,True,True,True,True,True,False,True,False,True,True,True
402,False,True,True,True,True,True,False,True,False,True,True,True
403,False,True,True,True,True,True,False,True,False,True,True,True
404,False,True,True,True,True,True,False,True,False,True,True,True
405,False,True,True,True,True,True,False,True,False,True,True,True
406,False,True,True,True,True,True,False,True,False,True,True,True
407,False,True,True,True,True,True,False,True,False,True,True,True
408,False,True,True,True,True,True,False,True,False,True,True,True
409,False,True,True,True,True,True,False,True,False,True,True,True
410,False,True,True,True,True,True,False,True,False,True,True,True
411,False,True,True,True,True,True,False,True,False,True,True,True
412,False,True,True,True,True,True,False,True,False,True,True,True
413,False,True,True,True,True,True,False,True,False,True,True,True
414,False,True,True,True,True,True,False,True,False,True,True,True
415,False,True,True,True,True,True,False,True,False,True,True,True
416,False,True,True,True,True,True,False,True,False,True,True,True
417,False,True,True,True,True,True,False,True,False,True,True,True
418,False,True,True,True,True,True,False,True,False,True,True,True
419,False,True,True,True,True,True,False,True,False,True,True,True
420,False,True,True,True,True,True,False,True,False,True,True,True
421,False,True,True,True,True,True,False,True,False,True,True,True
422,False,True,True,True,True,True,False,True,False,True,True,True
423,False,True,True,True,True,True,False,True,False,True,True,True
424,False,True,True,True,True,True,False,True,False,True,True,True
425,False,True,True,True,True,True,False,True,False,True,True,True
426,False,True,True,True,True,True,False,True,False,True,True,True
427,False,True,True,True,True,True,False,True,False,True,True,True
428,False,True,True,True,True,True,False,True,False,True,True,True
429,False,True,True,True,True,True,False,True,False,True,True,True
430,False,True,True,True,True,True,False,True,False,True,True,True
431,False,True,True,True,True,True,False,True,False,True,True,True
432,False,True,True,True,True,True,False,True,False,True,True,True
433,False,True,True,True,True,True,False,True,False,True,True,True
434,False,True,True,True,True,True,False,True,False,True,True,True
435,False,True,True,True,True,True,False,True,False,True,True,True
436,False,True,True,True,True,True,False,True,False,True,True,True
437,False,True,True,True,True,True,False,True,False,True,True,True
438,False,True,True,True,True,True,False,True,False,True,True,True
439,False,True,True,True,True,True,False,True,False,True,True,True
440,False,True,True,True,True,True,False,True,False,True,True,True
441,False,True,True,True,True,True,False,True,False,True,True,True
442,False,True,True,True,True,True,False,True,False,True,True,True
443,False,True,True,True,True,True,False,True,False,True,True,True
444,False,True,True,True,True,True,False,True,False,True,True,True
445,False,True,True,True,True,True,False,True,False,True,True,True
446,False,True,True,True,True,True,False,True,False,True,True,True
447,False,True,True,True,True,True,False,True,False,True,True,True
448,False,True,True,True,True,True,False,True,False,True,True,True
449,False,True,True,True,True,True,False,True,False,True,True,True
450,False,True,True,True,True,True,False,True,False,True,True,True
451,False,True,True,True,True,True,False,True,False,True,True,True
452,False,True,True,True,True,True,False,True,False,True,True,True
453,False,True,True,True,True,True,False,True,False,True,True,True
454,False,True,True,True,True,True,False,True,False,True,True,True
455,False,True,True,True,True,True,False,True,False,True,True,True
456,False,True,True,True,True,True,False,True,False,True,True,True
457,False,True,True,True,True,True,False,True,False,True,True,True
458,False,True,True,True,True,True,False,True,False,True,True,True
459,False,True,True,True,True,True,False,True,False,True,True,True
460,False,True,True,True,True,True,False,True,False,True,True,True
461,False,True,True,True,True,True,False,True,False,True,True,True
462,False,True,True,True,True,True,False,True,False,True,True,True
463,False,True,True,True,True,True,False,True,False,True,True,True
464,False,True,True,True,True,True,False,True,False,True,True,True
465,False,True,True,True,True,True,False,True,False,True,True,True
466,False,True,True,True,True,True,False,True,False,True,True,True
467,False,True,True,True,True,True,False,True,False,True,True,True
468,False,True,True,True,True,True,False,True,False,True,True,True
469,False,True,True,True,True,True,False,True,False,True,True,True
470,False,True,True,True,True,True,False,True,False,True,True,True
471,False,True,True,True,True,True,False,True,False,True,True,True
472,False,True,True,True,True,True,False,True,False,True,True,True
473,False,True,True,True,True,True,False,True,False,True,True,True
474,False,True,True,True,True,True,False,True,False,True,True,True
475,False,True,True,True,True,True,False,True,False,True,True,True
476,False,True,True,True,True,True,False,True,False,True,True,True
477,False,True,True,True,True,True,False,True,False,True,True,True
478,False,True,True,True,True,True,False,True,False,True,True,True
479,False,True,True,True,True,True,False,True,False,True,True,True
480,False,True,True,True,True,True,False,True,False,True,True,True
481,False,True,True,True,True,True,False,True,False,True,True,True
482,False,True,True,True,True,True,False,True,False,True,True,True
483,False,True,True,True,True,True,False,True,False,True,True,True
484,False,True,True,True,True,True,False,True,False,True,True,True
485,False,True,True,True,True,True,False,True,False,True,True,True
486,False,True,True,True,True,True,False,True,False,True,True,True
487,False,True,True,True,True,True,False,True,False,True,True,True
488,False,True,True,True,True,True,False,True,False,True,True,True
489,False,True,True,True,True,True,False,True,False,True,True,True
490,False,True,True,True,True,True,False,True,False,True,True,True
491,False,True,True,True,True,True,False,True,False,True,True,True
492,False,True,True,True,True,True,False,True,False,True,True,True
493,False,True,True,True,True,True,False,True,False,True,True,True
494,False,True,True,True,True,True,False,True,False,True,True,True
495,False,True,True,True,True,True,False,True,False,True,True,True
496,False,True,True,True,True,True,False,True,False,True,True,True
497,False,True,True,True,True,True,False,True,False,True,True,True
498,False,True,True,True,True,True,False,True,False,True,True,True
499,False,True,True,True,True,True,False,True,False,True,True,True
500,False,True,True,True,True,True,False,True,False,True,True,True
501,False,True,True,True,True,True,False,True,False,True,True,True
502,False,True,True,True,True,True,False,True,False,True,True,True
503,False,True,True,True,True,True,False,True,False,True,True,True
504,False,True,True,True,True,True,False,True,False,True,True,True
505,False,True,True,True,True,True,False,True,False,True,True,True
506,False,True,True,True,True,True,False,True,False,True,True,True
507,False,True,True,True,True,True,False,True,False,True,True,True
508,False,True,True,True,True,True,False,True,False,True,True,True
509,False,True,True,True,True,True,False,True,False,True,True,True
510,False,True,True,True,True,True,False,True,False,True,True,True
511,False,True,True,True,True,True,False,True,False,True,True,True
512,False,True,True,True,True,True,False,True,False,True,True,True
513,False,True,True,True,True,True,False,True,False,True,True,True
514,False,True,True,True,True,True,False,True,False,True,True,True
515,False,True,True,True,True,True,False,True,False,True,True,True
516,False,True,True,True,True,True,False,True,False,True,True,True
517,False,True,True,True,True,True,False,True,False,True,True,True
518,False,True,True,True,True,True,False,True,False,True,True,True
519,False,True,True,True,True,True,False,True,False,True,True,True
520,False,True,True,True,True,True,False,True,False,True,True,True
521,False,True,True,True,True,True,False,True,False,True,True,True
522,False,True,True,True,True,True,False,True,False,True,True,True
523,False,True,True,True,True,True,False,True,False,True,True,True
524,False,True,True,True,True,True,False,True,False,True,True,True
525,False,True,True,True,True,True,False,True,False,True,True,True
526,False,True,True,True,True,True,False,True,False,True,True,True
527,False,True,True,True,True,True,False,True,False,True,True,True
528,False,True,True,True,True,True,False,True,False,True,True,True
529,False,True,True,True,True,True,False,True,False,True,True,True
530,False,True,True,True,True,True,False,True,False,True,True,True
531,False,True,True,True,True,True,False,True,False,True,True,True
